Publisher,Count
20th Century Fox Video Games,4
3DO,17
505 Games,21
5pb,5
989 Studios,2
ASC Games,1
Abylight,1
Acclaim Entertainment,14
Ackkstudios,4
Acquire,2
Activision,310
Activision Blizzard,1
Activision Value,1
Adeline Software,1
Agatsuma Entertainment,1
Agetec,2
Aksys Games,1
Alawar Entertainment,1
Alchemist,3
Alternative Software,1
American Softworks,1
Answer Software,1
Arc System Works,3
Asgard,2
Astragon,1
Atari,54
Atlus,3
Avalon Interactive,1
Avanquest,4
Avanquest Software,4
BAM! Entertainment,9
Banpresto,4
Berkeley,1
Bethesda Softworks,17
Big Fish Games,1
Black Bean Games,1
Black Label Games,1
Blast! Entertainment Ltd,2
Bomb,1
Broccoli,5
CBS Electronics,1
CPG Products,1
Capcom,154
Cave,1
ChunSoft,1
City Interactive,1
Codemasters,9
CokeM Interactive,1
Coleco,3
Comfort,1
Compile Heart,2
Conspiracy Entertainment,3
Core Design Ltd.,1
Crave Entertainment,11
Crimson Cow,1
CyberFront,1
D3Publisher,53
DSI Games,1
DTP Entertainment,5
Data Age,2
Deep Silver,27
"Destination Software, Inc",2
Destineer,6
Disney Interactive Studios,96
Eidos Interactive,84
Electronic Arts,183
Electronic Arts Victor,1
Empire Interactive,5
Encore,1
Enix Corporation,1
Epic Games,1
Essential Games,1
Evolution Games,1
Excalibur Publishing,1
Flashpoint Games,1
Focus Home Interactive,1
Fox Interactive,1
From Software,3
FuRyu,11
FuRyu Corporation,1
Funbox Media,3
GT Interactive,10
Game Factory,8
GameMill Entertainment,3
Gamebridge,2
Gamecock,1
Genki,2
Giza10,1
Global Star,1
Gremlin Interactive Ltd,1
GungHo,2
Hamster Corporation,1
Hasbro Interactive,2
Hello Games,1
Hip Interactive,4
Hudson Soft,6
HuneX,1
IE Institute,1
ITT Family Games,1
Idea Factory,28
Idea Factory International,4
Ignition Entertainment,5
Illusion Softworks,1
Imagic,1
Infogrames,5
Insomniac Games,3
Interplay,6
Inti Creates,1
Introversion Software,1
Irem Software Engineering,3
JVC,1
Jaleco,2
JoWood Productions,3
Kadokawa Games,5
Kadokawa Shoten,2
Kaga Create,3
Kalypso Media,3
Kemco,6
Knowledge Adventure,1
Koch Media,4
Konami Digital Entertainment,148
LEGO Media,1
LSP Games,1
Laguna,1
Level 5,6
Licensed 4U,2
Little Orbit,17
LucasArts,48
MTO,3
Majesco Entertainment,15
Marvel Entertainment,1
Marvelous Entertainment,6
Marvelous Interactive,10
Mattel Interactive,4
Maximum Family Games,1
Men-A-Vision,1
Microids,3
Microsoft Game Studios,21
Midas Interactive Entertainment,2
Midway Games,27
Minato Station,1
Mindscape,4
Mycom,1
Mystique,1
NCSoft,1
Namco Bandai Games,248
Neko Entertainment,1
NetRevo,1
NewKidCo,2
Nihon Falcom Corporation,2
Nintendo,79
Nippon Columbia,4
Nippon Ichi Software,13
Nobilis,2
Nordcurrent,1
Nordic Games,8
Ocean,3
Oxygen Interactive,3
PQube,10
Palcom,1
Parker Bros.,5
PlayV,1
Playlogic Game Factory,6
Popcorn Arcade,1
Prototype,1
Psygnosis,5
Quinrose,3
Red Storm Entertainment,1
Rising Star Games,8
Rocket Company,3
Rondomedia,1
Russel,2
SCS Software,1
SCi,5
Saurus,1
Scholastic Inc.,1
Screenlife,3
Sega,101
Seventh Chord,1
Sold Out,1
Sony Computer Entertainment,90
Sony Computer Entertainment Europe,1
SouthPeak Games,9
Spike,10
Square Enix,52
Stainless Games,1
Starfish,1
Starpath Corp.,1
Storm City Games,1
Success,1
Sunrise Interactive,1
Swing! Entertainment,1
TDK Core,2
TDK Mediactive,8
THQ,194
Taito,1
Takara,3
Takara Tomy,12
Take-Two Interactive,93
Tecmo Koei,137
Telltale Games,2
Telstar,1
Tigervision,3
Titus,4
Tomy Corporation,2
Touchstone,3
Tru Blu Entertainment,4
UFO Interactive,1
Ubisoft,193
Ubisoft Annecy,10
Universal Gamex,1
Universal Interactive,9
Unknown,28
Video System,1
Views,1
Vir2L Studios,1
Virgin Interactive,12
Vivendi Games,46
Wanadoo,2
Warner Bros. Interactive Entertainment,165
Wizard Video Games,1
Xseed Games,1
Yeti,1
Zoo Digital Publishing,8
Zoo Games,3
Zushi Games,1
dramatic create,1
"mixi, Inc",1
