Publisher,Count
10TACLE Studios,1
3DO,3
505 Games,7
5pb,49
ASCII Entertainment,2
ASCII Media Works,7
Acclaim Entertainment,4
Ackkstudios,1
Acquire,2
Activision,25
Aksys Games,3
Alchemist,32
Aqua Plus,13
Arc System Works,10
Aria,1
Asmik Ace Entertainment,1
Aspyr,1
Astragon,2
Asylum Entertainment,3
Atari,17
Athena,1
Atlus,1
Avanquest,1
Avanquest Software,3
BAM! Entertainment,3
Banpresto,6
Big Ben Interactive,1
Big Fish Games,1
Blast! Entertainment Ltd,2
Boost On,1
Broccoli,9
BushiRoad,1
CDV Software Entertainment,1
Capcom,22
Cave,1
ChunSoft,11
City Interactive,5
Coconuts Japan,1
Codemasters,6
Comfort,5
Compile Heart,4
Crave Entertainment,1
Creative Core,1
Crimson Cow,1
Crystal Dynamics,1
Culture Brain,1
CyberFront,8
D3Publisher,31
DSI Games,1
DTP Entertainment,10
Daedalic,3
Daedalic Entertainment,3
Data East,1
Datam Polystar,2
Deep Silver,10
Destineer,2
Disney Interactive Studios,29
DreamCatcher Interactive,3
Eidos Interactive,5
Electronic Arts,13
Elf,1
Empire Interactive,3
Enterbrain,3
Focus Home Interactive,17
Foreign Media Games,1
Fortyfive,1
From Software,1
FuRyu,3
Fuji,1
Funbox Media,1
GN Software,3
GSP,6
Gainax Network Systems,1
Game Factory,4
GameMill Entertainment,1
Giga,1
Global Star,6
GungHo,1
Gust,1
HMH Interactive,1
Happinet,3
Headup Games,1
Her Interactive,1
Hudson Soft,3
Human Entertainment,2
HuneX,1
Idea Factory,81
Ignition Entertainment,1
Imadio,1
Imagineer,3
Indie Games,2
Infogrames,4
Interchannel,4
Interplay,1
JoWood Productions,3
KID,4
Kadokawa Games,6
Kadokawa Shoten,33
Kaga Create,2
Kalypso Media,2
Kemco,1
Kids Station,1
Knowledge Adventure,1
Koch Media,2
Konami Digital Entertainment,53
LEGO Media,1
Legacy Interactive,1
Level 5,4
Little Orbit,7
LucasArts,3
MC2 Entertainment,2
Majesco Entertainment,4
Mamba Games,1
Marvelous Games,1
Marvelous Interactive,14
Mastertronic,1
Mastiff,1
Mattel Interactive,2
Media Factory,1
Media Works,2
Merscom LLC,1
Microids,6
Microsoft Game Studios,3
Midway Games,4
Minato Station,2
Mindscape,1
Mojang,5
NEC,1
NEC Interchannel,5
Namco Bandai Games,58
Natsume,1
Neko Entertainment,2
NetRevo,1
NewKidCo,1
Nintendo,35
Nippon Ichi Software,12
Nitroplus,1
Nobilis,2
Nordic Games,2
O-Games,1
Otomate,1
Oxygen Interactive,2
PQube,5
Pack-In-Video,1
Piacci,1
Pioneer LDC,3
PopCap Games,1
Princess Soft,3
Prototype,26
Psygnosis,6
Quinrose,11
Quintet,1
RED Entertainment,1
Red Orb,2
Reef Entertainment,4
Revolution (Japan),1
Revolution Software,2
Rising Star Games,5
Rocket Company,1
Rondomedia,3
Russel,3
SNK Playmore,3
Sammy Corporation,1
Scholastic Inc.,5
Sega,31
Shogakukan,2
Societa,1
Sony Computer Entertainment,41
Sony Computer Entertainment Europe,3
SouthPeak Games,2
Spike,3
Square Enix,10
Storm City Games,1
Success,4
Sunsoft,2
Sweets,2
Swing! Entertainment,1
System Soft,1
TDK Mediactive,2
TGL,4
THQ,47
Taito,1
Take-Two Interactive,12
Takuyo,1
Tecmo Koei,17
Telltale Games,23
The Adventure Company,3
Type-Moon,1
Ubisoft,59
Unknown,17
Valcon Games,1
ValuSoft,1
Victor Interactive,1
Views,1
Virgin Interactive,1
Vivendi Games,7
Warner Bros. Interactive Entertainment,3
Warp,1
WayForward Technologies,1
Yeti,9
Yumedia,1
Zoo Digital Publishing,7
Zoo Games,1
Zushi Games,1
dramatic create,4
imageepoch Inc.,1
