Publisher,Count
3DO,1
505 Games,11
5pb,1
AQ Interactive,2
Acclaim Entertainment,31
Activision,7
Agetec,1
Angel Studios,1
Aqua Plus,1
Arc System Works,7
Arena Entertainment,1
Asmik Ace Entertainment,1
Atari,37
Atlus,5
BAM! Entertainment,1
Banpresto,6
Broccoli,2
Capcom,58
Cloud Imperium Games Corporation,2
Crave Entertainment,5
D3Publisher,3
Deep Silver,2
ESP,1
Ecole,1
Eidos Interactive,7
Electronic Arts,39
Empire Interactive,1
Enterbrain,1
Falcom Corporation,1
G.Rev,1
GT Interactive,7
Game Factory,2
Global Star,1
Gotham Games,2
Grand Prix Games,1
Hudson Soft,4
Human Entertainment,6
Ignition Entertainment,21
Imagineer,1
Infogrames,2
Interplay,1
Irem Software Engineering,1
JVC,1
Jaleco,1
Kokopeli Digital Studios,1
Konami Digital Entertainment,20
Majesco Entertainment,3
Marvelous Entertainment,1
Marvelous Interactive,9
Metro 3D,1
Microsoft Game Studios,5
Midas Interactive Entertainment,1
Midway Games,25
Namco Bandai Games,134
Natsume,1
New,1
NewKidCo,1
Nintendo,18
Nippon Ichi Software,2
Nitroplus,1
Ocean,2
PQube,17
Playmore,1
Rage Software,3
Rising Star Games,3
SNK,22
SNK Playmore,12
Sammy Corporation,4
Screenlife,1
Sega,37
Sony Computer Entertainment,30
SouthPeak Games,3
Spike,2
Square Enix,3
SquareSoft,4
Sunrise Interactive,1
Sunsoft,2
THQ,71
Taito,1
Takara,4
Takara Tomy,10
Take-Two Interactive,1
Tecmo Koei,12
Time Warner Interactive,1
Titus,3
Tomy Corporation,10
Tryfirst,1
Ubisoft,19
Ubisoft Annecy,2
Ultravision,1
Universal Interactive,1
Unknown,6
Vic Tokai,2
Virgin Interactive,19
Vivendi Games,4
Warner Bros. Interactive Entertainment,11
Xing Entertainment,1
Yeti,1
Yuke's,2
Zoo Digital Publishing,3
