Publisher,Count
505 Games,31
7G//AMES,1
AQ Interactive,3
ASCII Entertainment,2
ASK,1
Acclaim Entertainment,5
Activision,103
Activision Value,1
Agatsuma Entertainment,1
Agetec,1
Alchemist,4
Alvion,2
Aqua Plus,5
Arc System Works,1
Arika,1
Aruze Corp,3
Asgard,6
Aspyr,3
Atari,26
Atlus,1
Avanquest,3
Avanquest Software,2
BAM! Entertainment,1
Banpresto,1
Benesse,6
Black Bean Games,5
Brash Entertainment,3
Broccoli,1
Capcom,11
Cave,1
City Interactive,1
Coconuts Japan,1
Codemasters,7
Commseed,1
Conspiracy Entertainment,2
Crave Entertainment,18
Creative Core,1
Culture Brain,1
CyberFront,2
D3Publisher,32
DSI Games,2
DTP Entertainment,5
Daito,4
Data Design Interactive,1
Deep Silver,7
"Destination Software, Inc",1
Destineer,4
Disney Interactive Studios,44
Dorart,2
DreamCatcher Interactive,3
Edia,2
Eidos Interactive,5
Electronic Arts,46
Empire Interactive,6
Enix Corporation,2
Epoch,1
Fields,1
Focus Home Interactive,1
Focus Multimedia,1
Foreign Media Games,2
FuRyu,4
Funbox Media,1
GSP,5
GT Interactive,1
Gainax Network Systems,1
Gakken,2
Game Factory,5
Game Life,1
GameMill Entertainment,3
GameTek,1
Gamecock,2
Gameloft,1
Gathering of Developers,2
Global A Entertainment,1
Graffiti,2
GungHo,1
HMH Interactive,1
Hackberry,7
Happinet,1
Harmonix Music Systems,2
Hasbro Interactive,8
Hudson Entertainment,3
Hudson Soft,21
IE Institute,4
Idea Factory,5
Ignition Entertainment,4
Imax,1
Infogrames,7
Interplay,2
Irem Software Engineering,5
JVC,1
Jaleco,2
Jester Interactive,1
JoWood Productions,1
KSS,1
Kadokawa Games,1
Kadokawa Shoten,1
Kaga Create,1
Kalypso Media,1
Kamui,1
Karin Entertainment,1
Kemco,1
Knowledge Adventure,1
Konami Digital Entertainment,77
Level 5,1
MTV Games,41
Mad Catz,1
Magix,2
Majesco Entertainment,21
Marvelous Entertainment,2
Marvelous Interactive,2
Mastertronic,1
Mastiff,2
Media Entertainment,1
Media Works,1
Mentor Interactive,5
Microprose,1
Microsoft Game Studios,34
Midas Interactive Entertainment,1
Midway Games,20
Mindscape,15
Mirai Shounen,1
Mud Duck Productions,2
Myelin Media,3
Namco Bandai Games,97
Natsume,1
Naxat Soft,1
Neko Entertainment,1
NewKidCo,4
Nichibutsu,1
Nintendo,100
Nippon Amuse,1
Nippon Columbia,3
Nippon Ichi Software,3
Nippon Telenet,2
Nobilis,1
Nordcurrent,1
Nordic Games,11
O-Games,4
Ocean,1
Oxygen Interactive,8
P2 Games,2
PM Studios,1
PQube,1
Pacific Century Cyber Works,1
Paon,6
Paon Corporation,1
Paradox Interactive,1
Pinnacle,2
Play It,4
PlayV,1
Playlogic Game Factory,1
Plenty,1
Pony Canyon,1
PopCap Games,2
Psygnosis,1
Quelle,1
RedOctane,4
Rising Star Games,6
Rocket Company,5
Rondomedia,1
Sammy Corporation,4
Scholastic Inc.,1
Sega,62
Seta Corporation,4
Shogakukan,3
Sonnet,2
Sony Computer Entertainment,128
Sony Computer Entertainment Europe,4
Sony Music Entertainment,1
SouthPeak Games,2
Spike,4
Square Enix,6
Storm City Games,1
Success,2
Sunsoft,1
Syscom,1
System 3 Arcade Software,3
TDK Core,2
TDK Mediactive,5
THQ,66
Taito,3
Takara,4
Takara Tomy,6
Take-Two Interactive,27
Tecmo Koei,14
Telegames,4
Titus,1
Tivola,3
Tommo,3
Tomy Corporation,1
TopWare Interactive,3
UFO Interactive,8
Ubisoft,151
Ubisoft Annecy,1
Universal Interactive,1
Unknown,31
Vap,1
Victor Interactive,1
Virgin Interactive,1
Virtual Play Games,1
Vivendi Games,8
Warner Bros. Interactive Entertainment,22
XS Games,2
Xplosiv,3
Yamasa Entertainment,2
Zenrin,2
Zoo Digital Publishing,18
Zoo Games,11
Zushi Games,1
