Publisher,Count
3DO,1
505 Games,6
Acclaim Entertainment,5
Accolade,1
Activision,60
Agatsuma Entertainment,1
Asylum Entertainment,1
Atari,21
Atlus,1
BAM! Entertainment,4
BMG Interactive Entertainment,3
Banpresto,1
Big Ben Interactive,1
Brash Entertainment,7
Capcom,46
Coleco,1
Conspiracy Entertainment,1
Crave Entertainment,3
Crystal Dynamics,1
Cygames,1
D3Publisher,12
Deep Silver,3
Destineer,1
Disney Interactive Studios,20
DreamCatcher Interactive,1
DreamWorks Interactive,1
ESP,1
Eidos Interactive,4
Electronic Arts,16
Epoch,2
Evolved Games,2
Flashpoint Games,1
Focus Home Interactive,2
Fox Interactive,2
GT Interactive,3
Game Factory,4
Global Star,5
Gotham Games,3
Gremlin Interactive Ltd,1
Hasbro Interactive,1
Hudson Entertainment,1
Hudson Soft,3
Ignition Entertainment,3
Infogrames,10
Intergrow,1
Interplay,3
Jack of All Games,2
JoWood Productions,2
Kemco,2
Konami Digital Entertainment,40
LEGO Media,1
LSP Games,2
Laguna,2
Majesco Entertainment,4
Metro 3D,1
Microsoft Game Studios,6
Midas Interactive Entertainment,1
Midway Games,14
Namco Bandai Games,19
Natsume,1
NewKidCo,1
Nintendo,112
Nippon Ichi Software,3
Number None,1
Ocean,3
Oxygen Interactive,2
Parker Bros.,1
Phenomedia,1
Play It,1
Popcorn Arcade,2
Psygnosis,1
Rain Games,1
Rising Star Games,2
SCi,2
Sega,52
Sony Computer Entertainment,66
Sony Computer Entertainment Europe,4
Storm City Games,1
Sunsoft,1
Swing! Entertainment,1
System 3,3
System 3 Arcade Software,2
TDK Mediactive,8
THQ,85
Take-Two Interactive,11
Tecmo Koei,1
Titus,1
U.S. Gold,1
Ubisoft,70
Universal Interactive,7
Unknown,10
Virgin Interactive,6
Vivendi Games,37
Wanadoo,2
Warner Bros. Interactive Entertainment,8
Yacht Club Games,3
Zoo Digital Publishing,2
