Publisher,Count
10TACLE Studios,1
2D Boy,1
3DO,1
505 Games,15
7G//AMES,1
Acclaim Entertainment,9
Activision,7
Astragon,2
Atari,22
Avanquest,14
BPS,1
Banpresto,2
CDV Software Entertainment,1
Capcom,6
City Interactive,2
Codemasters,1
Compile,5
Conspiracy Entertainment,3
Crave Entertainment,10
Culture Publishers,1
D3Publisher,11
DHM Interactive,1
DTP Entertainment,2
Deep Silver,7
"Destination Software, Inc",2
Destineer,7
Devolver Digital,1
Disney Interactive Studios,3
DreamCatcher Interactive,2
Easy Interactive,2
Eidos Interactive,8
Electronic Arts,7
Empire Interactive,8
Focus Home Interactive,6
Focus Multimedia,2
Foreign Media Games,4
Funsta,3
GSP,3
Game Factory,4
Genterprise,1
HAL Laboratory,1
Hasbro Interactive,2
Hudson Entertainment,2
Hudson Soft,12
Ignition Entertainment,8
Ivolgamus,1
JVC,1
Jaleco,3
JoWood Productions,1
Kemco,3
Koch Media,1
Konami Digital Entertainment,10
Level 5,3
Licensed 4U,1
Liquid Games,1
Majesco Entertainment,9
Mastertronic,4
Mattel Interactive,1
MediaQuest,1
Micro Cabin,1
Microsoft Game Studios,1
Midas Interactive Entertainment,3
Midway Games,4
Mindscape,5
Mumbo Jumbo,4
Namco Bandai Games,20
Natsume,2
Neko Entertainment,1
Nintendo,74
Nordcurrent,1
O-Games,5
O3 Entertainment,1
Ocean,1
Oxygen Interactive,2
P2 Games,1
Parker Bros.,1
Performance Designed Products,2
Phenomedia,2
Pinnacle,1
PlayV,2
Playlogic Game Factory,2
PopCap Games,9
Popcorn Arcade,2
Pow,1
Psygnosis,1
Rage Software,1
Rising Star Games,13
Rondomedia,5
Scholastic Inc.,3
Sears,1
Sega,22
Sony Computer Entertainment,12
SouthPeak Games,2
Square Enix,4
Storm City Games,7
Success,1
Sunsoft,1
System 3 Arcade Software,1
THQ,17
Take-Two Interactive,1
Telegames,2
Tetris Online,1
The Adventure Company,2
UFO Interactive,4
Ubisoft,24
Unknown,17
ValuSoft,2
Virgin Interactive,2
Vivendi Games,2
Warner Bros. Interactive Entertainment,8
White Park Bay Software,1
Xplosiv,2
Zoo Digital Publishing,14
Zoo Games,3
Zushi Games,2
iWin,1
