Publisher,Count
1C Company,1
505 Games,2
989 Studios,3
ASC Games,1
ASCII Entertainment,3
Acclaim Entertainment,44
Accolade,1
Activision,74
Agetec,1
Atari,36
Atlus,1
Avalon Interactive,1
BAM! Entertainment,7
BMG Interactive Entertainment,1
BPS,1
Banpresto,1
Bethesda Softworks,7
Big Ben Interactive,2
Black Bean Games,19
Capcom,13
Codemasters,89
Conspiracy Entertainment,1
Crave Entertainment,4
Crystal Dynamics,1
D3Publisher,6
Data Design Interactive,1
Deep Silver,7
"Destination Software, Inc",3
Destineer,4
Disney Interactive Studios,14
Dusenberry Martin Racing,2
Eidos Interactive,14
Electronic Arts,159
Empire Interactive,21
Encore,2
Evolved Games,4
Focus Home Interactive,3
FunSoft,1
GT Interactive,6
Game Factory,2
Gathering of Developers,2
Genki,5
Global Star,5
Gremlin Interactive Ltd,2
Hasbro Interactive,2
Human Entertainment,1
Ignition Entertainment,3
Imagineer,1
Infogrames,15
Interplay,4
JVC,2
Jaleco,6
Jester Interactive,2
Kemco,5
Konami Digital Entertainment,13
LEGO Media,3
Liquid Games,1
LucasArts,2
MTO,1
Majesco Entertainment,5
Mastertronic,1
Mattel Interactive,1
Media Rings,1
Metro 3D,4
Microsoft Game Studios,22
Midas Interactive Entertainment,3
Midway Games,25
Milestone S.r.l,2
Milestone S.r.l.,16
Mindscape,2
Namco Bandai Games,27
Nintendo,37
Nobilis,1
Nordic Games,7
O-Games,1
Ocean,2
PQube,1
Phenomedia,1
Pioneer LDC,1
Play It,4
Playmates,1
Popcorn Arcade,4
Psygnosis,8
RTL,1
Rage Software,2
Rebellion,2
Rondomedia,2
SCi,2
Sega,48
Slightly Mad Studios,3
Sony Computer Entertainment,65
SouthPeak Games,3
Square,1
SquareSoft,1
Storm City Games,6
Sunrise Interactive,1
Syscom,1
System 3 Arcade Software,7
TDK Mediactive,6
THQ,101
TYO,1
Takara,4
Takara Tomy,2
Take-Two Interactive,20
Tecmo Koei,5
Telstar,1
The Learning Company,1
Titus,4
Tomy Corporation,1
Ubisoft,52
Unknown,13
Valcon Games,3
ValuSoft,1
Vatical Entertainment,2
Video System,3
Vir2L Studios,1
Virgin Interactive,1
Vivendi Games,14
Wanadoo,1
Warner Bros. Interactive Entertainment,3
XS Games,5
Xicat Interactive,1
Xplosiv,5
Yuke's,1
Zoo Digital Publishing,26
Zoo Games,6
Zushi Games,3
bitComposer Games,1
