Publisher,Count
1C Company,1
3DO,1
505 Games,10
5pb,1
ASCII Entertainment,3
ASCII Media Works,2
Acclaim Entertainment,1
Ackkstudios,2
Acquire,8
Activision,41
Aksys Games,4
Alchemist,1
Angel Studios,1
Aqua Plus,2
Arc System Works,1
Arika,1
ArtDink,3
Ascaron Entertainment GmbH,1
Aspyr,1
Atari,28
Atlus,46
Avalon Interactive,2
Banpresto,17
Bethesda Softworks,17
Broccoli,1
CCP,1
Capcom,38
ChunSoft,6
Codemasters,3
Codemasters Online,1
Compile,1
Compile Heart,13
Crave Entertainment,2
Crystal Dynamics,1
Culture Brain,1
CyberFront,1
D3Publisher,4
DTP Entertainment,7
Data East,1
Deep Silver,17
"Destination Software, Inc",1
Disney Interactive Studios,3
ESP,1
Eidos Interactive,9
Electronic Arts,35
Empire Interactive,1
Encore,1
Enix Corporation,23
Enterbrain,6
Epoch,2
Experience Inc.,3
Extreme Entertainment Group,1
Falcom Corporation,15
Flight-Plan,1
Focus Home Interactive,12
From Software,4
FuRyu,8
Funcom,2
GOA,1
Game Arts,1
Game Factory,1
Ghostlight,9
Global A Entertainment,3
Graffiti,2
GungHo,9
Gust,11
Havas Interactive,1
Hudson Entertainment,2
Hudson Soft,12
Iceberg Interactive,1
Idea Factory,13
Idea Factory International,2
Ignition Entertainment,3
Image Epoch,1
Imagineer,4
Infogrames,2
Interplay,3
Irem Software Engineering,1
JoWood Productions,5
Kadokawa Games,2
Kadokawa Shoten,11
Kemco,1
King Records,1
Koch Media,1
Konami Digital Entertainment,37
Laguna,1
Level 5,11
Locus,1
LucasArts,2
Majesco Entertainment,2
Marvelous Entertainment,2
Marvelous Interactive,13
Max Five,1
Media Rings,1
Mercury Games,2
Metro 3D,2
Michaelsoft,1
Micro Cabin,1
Microsoft Game Studios,16
Midas Interactive Entertainment,1
Midway Games,4
Mindscape,1
NCSoft,5
NEC,2
NEC Interchannel,1
Namco Bandai Games,151
Natsume,2
Nexon,1
Nihon Falcom Corporation,5
Nintendo,106
Nippon Ichi Software,69
Nobilis,2
Nordic Games,1
On Demand,1
Panther Software,1
Paradox Interactive,5
Psygnosis,1
Quest,1
Rising Star Games,26
Rocket Company,6
SNK Playmore,1
Screenlife,2
Sega,64
Seta Corporation,1
Sony Computer Entertainment,49
Sony Online Entertainment,7
SouthPeak Games,2
Spike,6
Square,5
Square EA,1
Square Enix,129
SquareSoft,38
Starfish,5
Sting,9
Success,7
Sunrise Interactive,1
Sunsoft,2
THQ,8
TOHO,1
Taito,2
Takara,1
Takara Tomy,3
Take-Two Interactive,6
Tecmo Koei,47
Titus,1
Tomy Corporation,3
TopWare Interactive,1
Ubisoft,41
Ubisoft Annecy,1
Unknown,22
Victor Interactive,1
Virgin Interactive,3
Vivendi Games,1
Xicat Interactive,1
Xseed Games,2
Zushi Games,1
imageepoch Inc.,1
inXile Entertainment,1
