Publisher,Count
20th Century Fox Video Games,1
3DO,5
505 Games,18
5pb,3
Acclaim Entertainment,17
Activision,159
Activision Value,4
Alchemist,3
Altron,1
Arika,1
Atari,40
Atlus,2
Avalon Interactive,1
BAM! Entertainment,8
BMG Interactive Entertainment,2
Banpresto,1
Bethesda Softworks,21
Big Ben Interactive,1
Bohemia Interactive,1
CTO SpA,1
Capcom,25
Cave,7
City Interactive,8
Codemasters,20
Coleco,1
Conspiracy Entertainment,2
Crave Entertainment,3
D3Publisher,12
DHM Interactive,1
DTP Entertainment,1
Deep Silver,5
Destineer,2
Devolver Digital,1
Disney Interactive Studios,3
DreamCatcher Interactive,3
EA Games,1
ESP,1
Eidos Interactive,35
Electronic Arts,139
Empire Interactive,5
Enjoy Gaming ltd.,1
Essential Games,1
Evolved Games,2
Fox Interactive,3
From Software,1
Funsta,1
G.Rev,1
GT Interactive,12
Gaga,1
Gathering of Developers,3
Global Star,8
Gotham Games,1
Graffiti,1
Gremlin Interactive Ltd,1
Groove Games,2
Hasbro Interactive,1
Hip Interactive,1
Hudson Entertainment,1
Hudson Soft,4
Ignition Entertainment,6
Imagic,3
Infogrames,6
Interplay,5
Interplay Productions,1
Irem Software Engineering,1
JVC,2
Jack of All Games,1
Jaleco,1
Kemco,1
Konami Digital Entertainment,40
LSP Games,1
Lexicon Entertainment,1
LucasArts,19
MC2 Entertainment,1
Majesco Entertainment,9
Mastertronic,4
Mastiff,4
Mattel Interactive,1
Metro 3D,1
Microsoft Game Studios,28
Midas Interactive Entertainment,4
Midway Games,17
Milestone,1
Mitsui,1
Moss,2
NDA Productions,1
Namco Bandai Games,37
Neko Entertainment,2
Nintendo,26
Nippon Ichi Software,1
Nordic Games,2
NovaLogic,3
O-Games,1
O3 Entertainment,1
Ocean,1
PQube,2
Phantom EFX,1
Phoenix Games,1
Play It,4
Playlogic Game Factory,2
Popcorn Arcade,1
Psygnosis,3
Rage Software,1
Rebellion Developments,2
Red Storm Entertainment,2
Reef Entertainment,2
Rising Star Games,4
SCi,8
SNK Playmore,2
Sega,40
Sony Computer Entertainment,51
Sony Computer Entertainment Europe,1
SouthPeak Games,8
Square Enix,16
SquareSoft,1
Starfish,1
Success,1
Sunsoft,1
Swing! Entertainment,2
TDK Mediactive,4
THQ,36
Taito,4
Take-Two Interactive,65
TalonSoft,1
TechnoSoft,1
Tecmo Koei,3
Telstar,1
Time Warner Interactive,1
Titus,2
Tommo,1
Trion Worlds,3
Tripwire Interactive,1
UFO Interactive,1
Ubisoft,92
Universal Interactive,4
Unknown,13
Valcon Games,1
Valve,1
Valve Software,3
Virgin Interactive,7
Visco,1
Vivendi Games,30
Warashi,1
Wargaming.net,1
Warner Bros. Interactive Entertainment,10
Xseed Games,1
Zoo Digital Publishing,8
Zoo Games,4
Zushi Games,2
id Software,1
