Publisher,Count
505 Games,41
5pb,2
7G//AMES,2
ASCII Entertainment,1
Activision,23
Aerosoft,2
Agetec,1
ArtDink,3
Asmik Ace Entertainment,1
Aspyr,1
Astragon,1
Asylum Entertainment,2
Atari,9
Atlus,1
Avalon Interactive,1
Avanquest,2
Banpresto,3
Bethesda Softworks,2
Blue Byte,1
Broccoli,1
CDV Software Entertainment,1
Capcom,2
City Interactive,2
Codemasters,3
Conspiracy Entertainment,1
Core Design Ltd.,1
Crave Entertainment,2
Creative Core,1
D3Publisher,6
DHM Interactive,1
DSI Games,1
DTP Entertainment,3
Deep Silver,17
"Destination Software, Inc",2
Destineer,11
Disney Interactive Studios,5
DreamCatcher Interactive,4
ESP,1
Eidos Interactive,8
Electronic Arts,116
Elite,1
Empire Interactive,1
Enix Corporation,2
Enterbrain,1
Ertain,1
Excalibur Publishing,3
Focus Home Interactive,6
Foreign Media Games,2
From Software,6
FuRyu,1
GSP,2
GT Interactive,1
Game Factory,2
Game Life,1
Ghostlight,1
Global Star,2
Graffiti,1
Graphsim Entertainment,1
Hamster Corporation,1
Happinet,1
Hearty Robin,1
Hect,3
Hudson Entertainment,1
Hudson Soft,3
Human Entertainment,1
Imageworks,1
Imagineer,1
Indie Games,1
Infogrames,1
Interplay,2
JoWood Productions,2
Jorudan,3
Just Flight,1
Kadokawa Games,1
Kadokawa Shoten,1
Kalypso Media,7
Kando Games,1
Koch Media,6
Konami Digital Entertainment,86
Lexicon Entertainment,1
Lighthouse Interactive,1
Little Orbit,2
LucasArts,6
MTO,4
Mad Catz,1
Majesco Entertainment,13
Marvelous Entertainment,1
Marvelous Interactive,6
Masque Publishing,1
Mastiff,1
Maxis,3
Mercury Games,2
Metro 3D,3
Micro Cabin,1
Microprose,1
Microsoft Game Studios,18
Midas Interactive Entertainment,1
Monte Christo Multimedia,1
NEC Interchannel,1
Namco Bandai Games,29
Natsume,3
Nintendo,29
Nobilis,5
O3 Entertainment,1
Office Create,2
Ongakukan,1
Origin Systems,1
PQube,1
Pack In Soft,1
Pack-In-Video,1
Paradox Development,1
Paradox Interactive,4
Phantagram,1
Psygnosis,4
RTL,2
Rising Star Games,11
Riverhillsoft,1
Rocket Company,1
Rondomedia,2
Sammy Corporation,2
Sega,12
Sony Computer Entertainment,15
Sony Computer Entertainment Europe,2
SouthPeak Games,2
Spike,1
Square Enix,4
SquareSoft,1
Success,1
Swing! Entertainment,1
TDK Core,1
THQ,27
Taito,7
Take-Two Interactive,4
Tecmo Koei,13
Telegames,1
Titus,2
Tomy Corporation,1
Touchstone,1
UIG Entertainment,1
Ubisoft,119
Unknown,13
Valcon Games,1
Victor Interactive,2
Virgin Interactive,2
Vivendi Games,1
Zoo Digital Publishing,1
Zoo Games,1
Zushi Games,2
bitComposer Games,4
fonfun,1
