Publisher,Count
3DO,6
49Games,1
505 Games,27
989 Sports,1
989 Studios,9
ASC Games,1
ASCII Entertainment,8
Acclaim Entertainment,52
Accolade,1
Ackkstudios,2
Activision,144
Activision Value,22
Agetec,1
Alternative Software,5
Aques,1
Arc System Works,4
Arena Entertainment,1
Asmik Corp,2
Aspyr,2
Atari,56
Athena,1
Atlus,4
Avanquest,2
Axela,1
BAM! Entertainment,2
BMG Interactive Entertainment,1
Banpresto,3
Bethesda Softworks,5
Big Ben Interactive,2
Bigben Interactive,13
Black Bean Games,8
Blast! Entertainment Ltd,2
CTO SpA,1
Capcom,3
Codemasters,10
Conspiracy Entertainment,1
Crave Entertainment,10
Crystal Dynamics,1
Culture Brain,1
D3Publisher,11
DSI Games,1
DTP Entertainment,11
Data Design Interactive,1
Deep Silver,10
"Destination Software, Inc",1
Destineer,8
Detn8 Games,1
DigiCube,1
Disney Interactive Studios,1
DreamCatcher Interactive,1
Eidos Interactive,8
Electronic Arts,561
Electronic Arts Victor,1
Empire Interactive,1
Enix Corporation,2
Enterbrain,4
Epoch,2
Focus Home Interactive,7
Fox Interactive,2
GT Interactive,5
GameMill Entertainment,1
Genki,1
Ghostlight,3
Global Star,10
Gotham Games,1
Gremlin Interactive Ltd,4
Griffin International,1
Home Entertainment Suppliers,5
Hudson Entertainment,1
Hudson Soft,12
Human Entertainment,2
Ignition Entertainment,6
Imagineer,6
Infogrames,7
Interplay,3
"Interworks Unlimited, Inc.",1
Jaleco,5
JoWood Productions,1
Kadokawa Shoten,1
Kemco,1
Knowledge Adventure,1
Koch Media,2
Konami Digital Entertainment,280
Level 5,1
MLB.com,1
Mad Catz,1
Magical Company,1
Majesco Entertainment,5
Marvelous Interactive,2
Mastertronic,1
Mastiff,8
Mattel Interactive,3
Media Factory,1
Media Rings,1
Microids,1
Microsoft Game Studios,17
Midas Interactive Entertainment,4
Midway Games,58
Mindscape,1
Misawa,2
Mud Duck Productions,1
Mumbo Jumbo,1
Namco Bandai Games,51
Natsume,5
Navarre Corp,1
Nintendo,55
Nordcurrent,2
Nordic Games,2
O-Games,5
Ocean,1
Oxygen Interactive,5
PQube,2
Pinnacle,1
Play It,1
Playlogic Game Factory,1
Psygnosis,2
RTL,5
Reef Entertainment,1
Rising Star Games,4
Rocket Company,1
Russel,1
SPS,1
Sega,135
Seta Corporation,1
Simon & Schuster Interactive,1
Sony Computer Entertainment,124
Sony Computer Entertainment America,3
SouthPeak Games,3
Spike,11
SquareSoft,3
Starfish,3
Storm City Games,1
Summitsoft,1
System 3 Arcade Software,1
T&E Soft,1
TDK Mediactive,3
THQ,31
Takara Tomy,3
Take-Two Interactive,151
Technos Japan Corporation,1
Tecmo Koei,39
Time Warner Interactive,2
Tommo,1
Tradewest,3
Tru Blu Entertainment,4
U.S. Gold,3
UEP Systems,1
UFO Interactive,2
Ubisoft,72
Universal Interactive,1
Unknown,26
Valcon Games,2
Victor Interactive,4
Vir2L Studios,1
Virgin Interactive,2
Virtual Play Games,1
Vivendi Games,2
XS Games,5
Xicat Interactive,1
Zoo Digital Publishing,16
Zoo Games,4
Zushi Games,3
responDESIGN,2
